3.839440945539855957e+08,2.835465389381389618e+08,2.443255109501719475e+08,2.779972389933834076e+08,3.841360670751342773e+08
1.789232264793300629e+07,1.932606936593532562e+07,1.440660150492191315e+04,7.058890835777521133e+06,5.532464409828186035e+03
1.759635609340667725e+04,2.765370364129543304e+04,3.179522636914253235e+04,2.375196659636497498e+04,4.890119240760803223e+04
6.640433751153945923e+04,3.547064292168617249e+04,4.544275008583068848e+04,7.770772022199630737e+04,4.479620272827148438e+04
1.903951021957397461e+04,3.118010296058654785e+04,3.008065986919403076e+04,1.639176841163635254e+04,2.531127141785621643e+04
4.466921281337738037e+04,3.093672055757045746e+04,4.841857675075531006e+04,4.044015146684646606e+04,3.803922067928314209e+04
2.328070025873184204e+04,4.028569713687896729e+04,3.246596282696723938e+04,1.680041771078109741e+04,3.258336535692214966e+04
2.546750232660770416e+04,2.659747441959381104e+04,3.775431708908081055e+04,2.530703735089302063e+04,3.782855867815017700e+04
2.187349400091171265e+04,1.541810771059989929e+04,4.636456871318817139e+04,1.329962976121902466e+04,3.712227051401138306e+04
2.381814680528640747e+04,5.562473213624954224e+04,6.843671293258666992e+04,2.719840333652496338e+04,4.001016749763488770e+04
3.356010138702392578e+04,3.483587384891510010e+04,2.492166587352752686e+04,3.546795659255981445e+04,2.940922613430023193e+04
8.847660508155822754e+04,5.908543799591064453e+04,4.247785164976119995e+04,8.392306036663055420e+04,3.694396754693984985e+04
8.653781749153137207e+04,1.678840277786254883e+05,5.646953259658813477e+04,1.150272722911834717e+05,1.531413975276947021e+05
3.100568853912353516e+05,1.067761066627502441e+05,1.946547458190917969e+05,3.414796639709472656e+05,1.683744411239624023e+05
1.465671839172363281e+06,1.465315055633544922e+06,1.452000690628051758e+06,1.227585357849121094e+06,1.149861433097839355e+06
1.730508031404495239e+06,1.362114223770141602e+06,1.781948383079528809e+06,1.802180683868408203e+06,1.516295656826019287e+06
1.391764379978179932e+06,1.324921468997955322e+06,1.467932197311401367e+06,1.569283035463333130e+06,1.573110006362915039e+06
6.641831369152069092e+05,6.530829297847747803e+05,5.909345614557266235e+05,6.040024887332916260e+05,5.723484261913299561e+05
